Symphonic Sketches Chadwick, George Whitefield
"Panis Angelicus" Franck, Cesar
Sarabande Einaudi, Ludovico
Pomp and Circumstance Marches Op39: No1 in D Elgar, Edward
Overture TWV55C6 in C Telemann, Georg Philipp
Gadfly: Romance Shostakovich, Dmitri
Piano Trio No. 2 in F Op. 80 Schumann, Robert
String Trio No 6 in F Boccherini, Luigi
Marche Miniature Bird, Arthur
Piano Trios H15: No 2 in F Haydn, Joseph
Sonata K213 in D minor Scarlatti, Domenico
Chanson de Nuit Op15 No1 Elgar, Edward
Le Roi sAmuse: Ballet  (7) Delibes, Leo
Rival Sisters Overture Purcell, Henry
Sonata for Strings Op2 No10 in E Corelli, Arcangelo
Symphony Op24 No3 in F Stamitz, Carl
"Embracable You." Gershwin, George
Overture to Fierrabras Schubert, Franz
Violin Concerto RV336 in A Vivaldi, Antonio
16b. Four Seasons: RV315 Summer Concerto in G minor Vivaldi, Antonio
Country Tune Bax, Arnold
Of the Fathers Love Begotten Traditional
Symphony No 26 in G Haydn, Michael
Chorale Preludes Op122: No  3 "O Welt, ich muss dic lassen" Brahms, Johannes
Oldrich and Bozena Overture Smetana, Bedrich
Symphonies Op2: No1 in B flat Boyce, William
Concerto RV546 in A for Violin and Cello Vivaldi, Antonio
Gioconda: Dance of the Hours Ponchielli, Amilcare
Symphony No  34 in D minor Haydn, Joseph
Egmont Overture Op84 Beethoven, Ludwig van
Piano Trio K542 in E Mozart, Wolfgang Amadeus
Samson and Delilah: Bacchanale Saint-Saens, Camille
Sonata Op5 No1 for Harp and Flute in B flat Boccherini, Luigi
Sonata K322 in A Scarlatti, Domenico
Preludes Op32: No 5 in G Rachmaninov, Sergei
Walkuere: Ride of the Valkyries Wagner, Richard
On the Town: Ballet - Imaginary Coney Island Bernstein, Leonard
Damnation of Faust: Rakoczy March Berlioz, Hector
Symphony No 6 in B minor Op74 "Pathetique" Tchaikovsky, Peter Ilych
What Shall We Remember? Gordon, Ricky Ian
Trittico Botticelliano Respighi, Ottorino
Crown Imperial Walton, William
Symphony No 103 in E flat "Drum-roll" Haydn, Joseph
Much Ado about Nothing: Overtrure Korngold, Erich Wolfgang
Piano Concerto No 23 in A K488 Mozart, Wolfgang Amadeus
Symphony Op12 No5 in E flat Gossec, Francois Joseph
Fairy Queen: "See, even night" Purcell, Henry
Overture "Calm Sea and Prosperous Voyage" Op27 Mendelssohn, Felix
"The Mulberry Garden" Anon British
Symphony No 5 in B flat Op100: II. Allegro marcato Prokofiev, Serge
Theme and Variations in C Haydn, Joseph
Symphony No 1 in E flat Op28 Bruch, Max
French Suite No 5 BWV816 Bach, Johann Sebastian
LHotellerie Portugaise Overture Cherubini, Luigi
Piano Sonata Op13 No6 in F minor Clementi, Muzio
Creatures of Prometheus Overture Op43 Beethoven, Ludwig van
Die Walkure Wagner, Richard
Variations (8) K352 in F on "Dieu damour" Mozart, Wolfgang Amadeus
Serenade K250 in D "Haffner" Mozart, Wolfgang Amadeus
Romance Sorensen, Bent
Minuet K355 in D Mozart, Wolfgang Amadeus
Polonaise Op44 in F sharp minor Chopin, Frederic
The Birds Respighi, Ottorino
Impromptu No 4 in A Op7 Vorisek, Jan Vaclav
Visions: No2 Summerland Still, William Grant
Sonatas Op5: No 7 in D minor Corelli, Arcangelo
Marriage of Figaro: "Dove sono" Mozart, Wolfgang Amadeus
Pour une Fete de Printemps Roussel, Albert
Orpheus in the Underworld Overture Offenbach, Jacques
Fantasy in G minor Op77 Beethoven, Ludwig van
Valse Triste Op44 Sibelius, Jean
Concerto Op8 No9 in E minor Torelli, Giuseppe
The Art of the Violin: Concerto No 3 in F Locatelli, Pietro
Variations (8) K460 in A on the Aria "Come un agnello" Mozart, Wolfgang Amadeus
Pavane for a Dead Princess Ravel, Maurice
Horn Concerto No 2 in D Haydn, Joseph
"Caro mio ben" Giordani, Giuseppe
Impresiones: No3 Danza Ginastera, Alberto
Turkish Fragments Op62 Ippolitov-Ivanov, Mikhail
Coventry Carol Traditional
Intermezzo Op118 No2 in A Brahms, Johannes
Symphony G509 in D Boccherini, Luigi
West Side Story Suite Bernstein, Leonard
Cinderella Overture Rossini, Gioacchino
Notturno No 3 in C Haydn, Joseph
A Christmas Overture Rutter, John
Faust: Ballet  (7) Gounod, Charles
Florentiner Op214 Fucik, Julius
Piano Quintet No 1 Op29 Enescu, Georges
Suicide Squadron: Warsaw Concerto Addinsell, Richard
Rhapsody for Orchestra Zador, Eugene
Brandenburg Concerto No 2 in F BWV1047 Bach, Johann Sebastian
Nights in the Gardens of Spain Falla, Manuel de
Pictures at an Exhibition: The Hut on Fowls Legs and The Great Gate of Kiev Mussorgsky, Modest
Aladdin Suite Nielsen, Carl
Violin Sonata No 1 in G minor BWV1001 Bach, Johann Sebastian
Preludes (3) (arr by Roy Bargy) Gershwin, George
Symphony No 9 in C D944 "Great" Schubert, Franz
Eugene Onegin: Polonaise Tchaikovsky, Peter Ilych
Quintet Op11 No1 in C Bach, Johann Christian
Andante Spianato and Grande Polonaise Op22 Chopin, Frederic
Violin Sonata K379 in G Mozart, Wolfgang Amadeus
Three Divertimenti Britten, Benjamin
Violin Concerto in D minor Op47 Sibelius, Jean
Pomp and Circumstance Marches Op39: No4 in G Elgar, Edward
Wind Quintet Op2 Arnold, Malcolm
Violin Concerto in D Op35 Tchaikovsky, Peter Ilych
Horn Concerto No 1 in D Haydn, Joseph
Swan Lake: Act I: Goblet Dance Tchaikovsky, Peter Ilych
Cosi Fan Tutte Mozart, Wolfgang Amadeus
Intermezzo in B minor "In Modo Classico" Mussorgsky, Modest
String Quartet K465 in C "Dissonant" Mozart, Wolfgang Amadeus
Piano Sonata K309 in C Mozart, Wolfgang Amadeus
Piano Sonata in B minor Liszt, Franz
Appalachian Spring Suite Copland, Aaron
Concertino for Oboe and String Orchestra Op45 No2 Larsson, Lars-Erik
Speziale Overture Haydn, Joseph
String Quintet No 2 in G Op111 Brahms, Johannes
Magnificent Seven: Theme Bernstein, Elmer
Autumnal Sketch Op8 Prokofiev, Serge
Symphony No 2 in D Op36 Beethoven, Ludwig van
Niagra Falls Suite Grofe, Ferde
Holberg Suite Op40 (5) Grieg, Edvard
Slavonic Dances Op46: No8 in G minor Dvorak, Antonin
Noels: "A la venue de Noel" Charpentier, Marc-Antoine
Contemplazione Catalani, Alfredo
Requiem: "Pie Jesu" Faure, Gabriel
Concerts Royaux: No 3 in A Couperin, Francois
Ivan the Terrible Overture Rimsky-Korsakov, Nikolai
String Trio No 1 in F Boccherini, Luigi
Scottish Dances Op59 Arnold, Malcolm
String Symphony No  4 in C Minor Mendelssohn, Felix
Maskarade Overture Nielsen, Carl
Ma Vlast: No2 The Moldau Smetana, Bedrich
Serenade for Strings in E: No5 Finale Dvorak, Antonin
Harp Sonata No 2 in E flat Op34 Dussek, Jan Ladislav
Concerti Grossi Op3: No4 in F Handel, George Frideric
Piano Son ata K284 in D "Duernitz" Mozart, Wolfgang Amadeus
Une Chatelaine en Sa Tour Op110 Faure, Gabriel
Concerto for Two Horns and Two Violins TWV 54:Es1 Telemann, Georg Philipp
Meditacion Chavez, Carlos
Agnus Dei Barber, Samuel
Carnival of the Animals: The Swan Saint-Saens, Camille
Fantasy on a Hymn by Justin Morgan Canning, Thomas
Images for Orchestra (3) Debussy, Claude
Symphony G500 in D Boccherini, Luigi
Symphony No 1 in E minor Khachaturian, Aram
Violin Concerto RV277 in E minor "Il Favorito" Vivaldi, Antonio
Rondo in E flat Op11 Hummel, Johann Nepomuk
Aria Antigua Rodrigo, Joaquin
Waltz Op64 No2 in C sharp minor Chopin, Frederic
Bagatelles Op126: No4 in B minor Beethoven, Ludwig van
Symphony No 41 in F Haydn, Michael
Sonatas Op5: No 8 in E minor Corelli, Arcangelo
Ave verum Corpus Op65 No1 Faure, Gabriel
Sonata K529 in B flat Scarlatti, Domenico
Lancier Quadrille (4) Bruckner, Anton
Swedish Rhapsody No 1 Op19 "Midsommarvaka" Alfven, Hugo
Sinfonia RV168 in B minor Vivaldi, Antonio
Sonata No 8 in G (1683) Purcell, Henry
Royall Consort No 6 in D Lawes, William
Augustan Club Waltz Joplin, Scott
Sonata Op3 No1 for Piano Four Hands in C Clementi, Muzio
Four Seasons: RV315 Summer Concerto in G minor Vivaldi, Antonio
Orchestra Suite No 3 in D BWV1068: Air Bach, Johann Sebastian
Siroe Overture Handel, George Frideric
Piano Sonata Op1 No3 in B flat Clementi, Muzio
Piano Trio in D Cadman, Charles Wakefield
Symphonic Variations in E minor Parry, Charles Hubert
Waltz Op34 No2 in A minor Chopin, Frederic
March K408 No3 in C Mozart, Wolfgang Amadeus
Heimats-Kinder (Waltz) Op85 Strauss, Johann Jr
Maja de Goya Granados, Enrique
Pieces: No1 Nocturne Copland, Aaron
Divertimento No 1 in A G461 Boccherini, Luigi
27. Violin Concerto Op14 Barber, Samuel
Violin Concerto RV209 in D Vivaldi, Antonio
Liebesleid Kreisler, Fritz
Concerto for Violin, Piano and String Quartet Op21 Chausson, Ernest
War and Peace: New Years Eve Ball Prokofiev, Serge
Wind Quintet No 4 in B Myslivecek, Josef
Preludes Book1: No 8 La Fille aux Cheveux de Lin Debussy, Claude
String Quartet Op33 No1 in E Boccherini, Luigi
Violin Concerto in D Op35 Korngold, Erich Wolfgang
Trumpet Concerto No 2 Molter, Johann Melchior
Toccata BWV914 in E minor Bach, Johann Sebastian
Piano Concerto No 2 in A Liszt, Franz
Flute Sonata in F Handel, George Frideric
Story of a Flemish Farm: Suite (7) Vaughan Williams, Ralph
Meditations on a Theme of John Blow Bliss, Arthur
Piano Concerto No 27 in B flat K595 Mozart, Wolfgang Amadeus
Prelude for Orchestra Hill, Edward Burlingame
Gartenlaube (Waltz) Op461 Strauss, Johann Jr
Overture in D Clementi, Muzio
Harp Consort No 11 in D minor Lawes, William
Hungarian Dance No  2 Brahms, Johannes
Concerto RV114 in C Vivaldi, Antonio
Mazurk Gottschalk, Louis Moreau
Images Book2 (3) Debussy, Claude
Orchestra Suite No 3 in D BWV1068: Air Bach, Johann Sebastian
Hungarian Rhapsody No 5 Liszt, Franz
Ballade Debussy, Claude
Concerti Grossi Op6: No 7 in B flat Handel, George Frideric
Sonata Movement in G minor Bruckner, Anton
Passacaglias on Irish Themes Scott, Cyril
Sonatine pour flute et piano Dutilleux, Henri
Khovanshchina: Intermezzo Mussorgsky, Modest
Viola dAmore Concerto RV394 in D minor Vivaldi, Antonio
40. Piano Concerto No 5 in E flat Op73 "Emperor" Beethoven, Ludwig van
Rheingold: Entrance of the Gods into Valhalla Wagner, Richard
Private Lives of Elizabeth and Essex Suite Korngold, Erich Wolfgang
Egmont Overture Op84 Beethoven, Ludwig van
Scherzando No6 in A Haydn, Joseph
Academic Festival Overture Op80 Brahms, Johannes
Sarabande in D minor Marais, Marin
Sonata No 2 in A minor (5) Schenck, Johannes
Barcarolle Op143 Raff, Joachim
Overture, Scherzo and Finale Op52 Schumann, Robert
Dynamic Triptych Op88 Foulds, John
Terpsichore: Gavotte Praetorius, Michael
Marche Slav Op31 Tchaikovsky, Peter Ilych
Wind Quintet Op43 Nielsen, Carl
Orfeo ed Euridice: "Che faro senza Euridice?" Gluck, Christoph Willibald von
Rondo No 1 in C Op51 No1 Beethoven, Ludwig van
Divertimento No 7 in G Haydn, Joseph
"Staendchen" (Schubert) Liszt, Franz
Fantasia for Violin on Themes from "Porgy and Bess" Gershwin, George
Seven Paragraphs Cowell, Henry
Intermezzo Op116 No2 in A minor Brahms, Johannes
String Quintet in F (Op17) Beethoven, Ludwig van
Piano Sonata Op7 No3 in G minor Clementi, Muzio
Polonaise Op53 in A flat "Heroic" Chopin, Frederic
Concierto para una Fiesta Rodrigo, Joaquin
Les Fetes dHebe: Gavottes Rameau, Jean-Philippe
Concerti Grossi Op5: No 3 in C Geminiani, Francesco
Viola Concerto Walton, William
Suite No 5 in G Schein, Johann Hermann
Symphony No 1 in B minor Op6 Grechaninov, Alexander
Le Carillon (3) Massenet, Jules
Sonata No 1 in G minor Purcell, Henry
Trio Sonata RV74 in G minor Vivaldi, Antonio
Pavan and Galliard a5 Byrd, William
Piano Sonata No 13 in E flat Op27 No1 Beethoven, Ludwig van
Violin Concerto in B flat Tartini, Giuseppe
Triple Concerto in C Op56 Beethoven, Ludwig van
Piano Trio No 1 in F Saint-Saens, Camille
Ma Vlast: No3 Sarka Smetana, Bedrich
Quiet City Copland, Aaron
Crown Imperial Walton, William
Goetterdaemmerung: Funeral Music Wagner, Richard
Concerti Grossi Op3: No3 in G HVW314 Handel, George Frideric
Etude Symphonique Nelhybel, Vaclav
Piano Concerto No 24 in C minor K491 Mozart, Wolfgang Amadeus
Athalie: War March of the Priests Mendelssohn, Felix
Cello Suite No. 1 BWV1007 in G Bach, Johann Sebastian
Havanaise Op83 Saint-Saens, Camille
A Festival of Alfred Burt Carols Burt, Alfred
String Quartet Op 64 No5 in D "The Lark" Haydn, Joseph
Rodeo Suite Copland, Aaron
Sonata BWV262 in C minor Buxtehude, Dietrich
Sinfonia Wq183 No 4 in G Bach, Carl Philipp Emanuel
Canadian Carnival Op19 Britten, Benjamin
Suite Purcell, Henry
Symphony No 1 in C minor Op68 Brahms, Johannes
